timestamp,Time ,Garbage,value
2018-01-02 18:45,2018-01-02 18:45:00 PST,109.8kW,109.8
2018-01-02 19:00,2018-01-02 19:00:00 PST,111.9kW,111.9
2018-01-02 19:15,2018-01-02 19:15:00 PST,118.5kW,118.5
2018-01-02 19:30,2018-01-02 19:30:00 PST,117.0kW,117
2018-01-02 19:45,2018-01-02 19:45:00 PST,111.8kW,111.8
2018-01-02 20:00,2018-01-02 20:00:00 PST,114.7kW,114.7
2018-01-02 20:15,2018-01-02 20:15:00 PST,117.5kW,117.5
2018-01-02 20:30,2018-01-02 20:30:00 PST,121.8kW,121.8
2018-01-02 20:45,2018-01-02 20:45:00 PST,118.2kW,118.2
2018-01-02 21:00,2018-01-02 21:00:00 PST,109.6kW,109.6
2018-01-02 21:15,2018-01-02 21:15:00 PST,129.4kW,129.4
2018-01-02 21:30,2018-01-02 21:30:00 PST,132.1kW,132.1
2018-01-02 21:45,2018-01-02 21:45:00 PST,116.9kW,116.9
2018-01-02 22:00,2018-01-02 22:00:00 PST,112.8kW,112.8
2018-01-02 22:15,2018-01-02 22:15:00 PST,116.9kW,116.9
2018-01-02 22:30,2018-01-02 22:30:00 PST,105.1kW,105.1
2018-01-02 22:45,2018-01-02 22:45:00 PST,86.6kW,86.6
2018-01-02 23:00,2018-01-02 23:00:00 PST,79.7kW,79.7
2018-01-02 23:15,2018-01-02 23:15:00 PST,83.7kW,83.7
2018-01-02 23:30,2018-01-02 23:30:00 PST,62.2kW,62.2
2018-01-02 23:45,2018-01-02 23:45:00 PST,71.4kW,71.4
2018-01-03 0:00,2018-01-03 00:00:00 PST,85.2kW,85.2
2018-01-03 0:15,2018-01-03 00:15:00 PST,80.1kW,80.1
2018-01-03 0:30,2018-01-03 00:30:00 PST,81.7kW,81.7
2018-01-03 0:45,2018-01-03 00:45:00 PST,93.2kW,93.2
2018-01-03 1:00,2018-01-03 01:00:00 PST,85.2kW,85.2
2018-01-03 1:15,2018-01-03 01:15:00 PST,87.1kW,87.1
2018-01-03 1:30,2018-01-03 01:30:00 PST,88.1kW,88.1
2018-01-03 1:45,2018-01-03 01:45:00 PST,89.0kW,89
2018-01-03 2:00,2018-01-03 02:00:00 PST,76.7kW,76.7
2018-01-03 2:15,2018-01-03 02:15:00 PST,74.3kW,74.3
2018-01-03 2:30,2018-01-03 02:30:00 PST,78.6kW,78.6
2018-01-03 2:45,2018-01-03 02:45:00 PST,63.1kW,63.1
2018-01-03 3:00,2018-01-03 03:00:00 PST,78.6kW,78.6
2018-01-03 3:15,2018-01-03 03:15:00 PST,101.9kW,101.9
2018-01-03 3:30,2018-01-03 03:30:00 PST,88.9kW,88.9
2018-01-03 3:45,2018-01-03 03:45:00 PST,85.9kW,85.9
2018-01-03 4:00,2018-01-03 04:00:00 PST,74.0kW,74
2018-01-03 4:15,2018-01-03 04:15:00 PST,62.9kW,62.9
2018-01-03 4:30,2018-01-03 04:30:00 PST,69.2kW,69.2
2018-01-03 4:45,2018-01-03 04:45:00 PST,88.3kW,88.3
2018-01-03 5:00,2018-01-03 05:00:00 PST,97.2kW,97.2
2018-01-03 5:15,2018-01-03 05:15:00 PST,92.8kW,92.8
2018-01-03 5:30,2018-01-03 05:30:00 PST,81.7kW,81.7
2018-01-03 5:45,2018-01-03 05:45:00 PST,98.7kW,98.7
2018-01-03 6:00,2018-01-03 06:00:00 PST,114.3kW,114.3
2018-01-03 6:15,2018-01-03 06:15:00 PST,138.5kW,138.5
2018-01-03 6:30,2018-01-03 06:30:00 PST,163.6kW,163.6
2018-01-03 6:45,2018-01-03 06:45:00 PST,172.5kW,172.5
2018-01-03 7:00,2018-01-03 07:00:00 PST,193.3kW,193.3
2018-01-03 7:15,2018-01-03 07:15:00 PST,228.4kW,228.4
2018-01-03 7:30,2018-01-03 07:30:00 PST,227.4kW,227.4
2018-01-03 7:45,2018-01-03 07:45:00 PST,208.3kW,208.3
2018-01-03 8:00,2018-01-03 08:00:00 PST,219.8kW,219.8
2018-01-03 8:15,2018-01-03 08:15:00 PST,227.0kW,227
2018-01-03 8:30,2018-01-03 08:30:00 PST,230.0kW,230
2018-01-03 8:45,2018-01-03 08:45:00 PST,209.7kW,209.7
2018-01-03 9:00,2018-01-03 09:00:00 PST,194.3kW,194.3
2018-01-03 9:15,2018-01-03 09:15:00 PST,200.6kW,200.6
2018-01-03 9:30,2018-01-03 09:30:00 PST,191.4kW,191.4
